a,неопределенныйартикль
cripple,калечить/уродовать(неdestroy/disable)
crisis,кризис/перелом(входеболезни)
crisp,хрустящийкартофель
critical,критический
criticism,критика
criticize,критиковать
crocodile,крокодил
crook,крюк/крючок/поворот
crooked,кривой
crop,урожай
cross,пересекать
crossing,переход/пересечение
crouch,притаиться
crouched,Присел
crow,ворона
crowd,толпа/толпиться
crowded,многолюдный
crown,корона
crude,сырой/необработанный
cruel,жестокий/беспощадный
cruelty,жестокость
cruise,морскоепутешествие(c-)
crumb,крошка
crumble,крошить(ся)
crushed,Сокрушенный
crust,корка/кора
cry,кричать/восклицать
crying,кричащий(-ing)!
crystal,хрусталь
cub,детеныш(зверя)
cubic,кубический
cuckoo,кукушка
cucumber,огурец
cucumbers,огурцы(отcucumber)
cuff,наручники/лёгкийудар
culprit,обвиняемый/преступник(неaccused)
cultivate,обрабатывать
cultivated,Выращенный
cultivation,Культивирование
cunning,хитрость/хитрый/коварный-ing
cup,чашка
cupboard,буфет
cups,чашки(отcup)
curb,сдерживать
curdle,свертываться(омолоке)
cure,лекарство/лечитьc-
curiosity,любопытство/редкаявещь
curious,любознательный
curiously,странно(неstrangely)!
curl,виться/завивать(ся);локон/завиток
curled,Вился
curls,Завитки
currant,коринка/смородина
current,течение/ток
currently,Внастоящеевремя
curse,проклятие
cursor,Курсор
curt,краткий/сжатый/грубый
curtain,занавеска/занавес
curtains,занавески!
curvature,Искривление
curve,изгиб/гнутьc-
curved,Изогнутый
cushion,подушка
custom,обычай
customary,обычный
customer,клиент
cut,разрез/фасон(стрижкиволос)
cute,изящный/прелестный
cutting,сокращение/урезание-ing
cycle,цикл/период
cyclist,велосипедист
czar,Царьc-
dad,папа/отец
dagger,кинжал
daily,ежедневно
dainty,лакомство/деликатес
dairy,молочныймагазин
daisy,маргаритка
dalton,Далтон
dam,дамба/плотина
damage,повреждать/причинятьущерб
dame,дама/пожилаяженщина(неlady)
damp,сырой/влажный
dan,Дэн
dance,танцевать
danced,танцевал(отdance)
dancing,танцы-ing
dandy,нарядный/великолепный
danger,опасность
dangerous,опасный
dangers,Опасности
dangle,качаться/подвешивать
darcy,Дарси
dare,сметь/отважиться
dared,осмелившийся!
daring,смелость/отвага;смелый/отважный-ing
dark,темный/печальный
darkened,Затемненный*a-
darker,Болеетемный
darkness,темнота/мрак
darling,любимый/дорогой
darn,штопать
darted,Брошенный(неdashed)
darwin,Дарвин
dash,оттолкнуть/отбросить
dashed,брошенный!
data,данные/факты
database,Базаданных
databases,Базыданных
date,дата
dates,даты(отdate)
daughter,дочь
daughters,дочери(отdaughter)
david,Дэвид
dawn,рассвет/светать
day,день
daybreak,рассвет
daylight,дневнойсвет
days,дни(отday)
daytime,дневноевремя
dazed,ошеломленный
dead,мертвый
deadlock,тупик/безвыходноеположение
deadly,смертельно
deaf,глухой
deal,значительноеколичество
dealing,раздачаv-ing
dean,декан
dear,дорогой
dearest,Дорогой(неdarling)
death,смерть
debate,дебаты/спор/полемика
debris,обломки/развалины
debt,долг
debts,долги(отdebt)
decay,гниение/разложение
deceive,обманывать
deceived,обманутый!
December,декабрь
decency,приличие/благопристойность
decent,приличный/скромный
deception,обман/хитрость-ion
deceptive,обманчивый
decide,решать
decided,решил(отdecide)
decidedly,определённо/точно/бесспорно(неdoubtless)!
decimal,десятичный/десятичнаядробь
decipher,расшифровывать
decision,решение
decisive,решающий
deck,палуба
declaration,декларация
declare,декларировать
declared,Объявленный
decline,опускаться/уменьшаться/убывать
declined,Отклоненный**c-
decorate,украшать
decoy,западня/приманка;заманиватьвловушкуd-
decrease,уменьшать/уменьшить
decree,декрет/указ;издаватьдекрет;постановлять
decrepit,ветхий/дряхлый
dedicate,посвящать/посвятить
deduction,вычитание/вычет/удержание/вывод/заключение(-ion)
deed,подвиг/дело
deep,глубокий
deeper,Глубже
deeply,глубоко
deer,олень/лань
default,Неплатеж/невыполнениеобязательств
defeat,поражение
defeated,побеждённый!
defect,недостаток/недочет
defective,неисправный/недостаточный/неполноценный/дефективный
defence,оборона/защита
defend,защищать/оборонять
defender,защитник/чемпион(неchampion)
defense,оборона!
defensive,оборонительный/оборона
defiance,неповиновение/пренебрежение
defiant,вызывающий/дерзкий
deficiency,недостаток/дефицит-y
define,определять/устанавливать
defined,Определенный
definite,определенный/точный
definitely,Определенно
definition,определение
defy,действоватьнаперекор
degrade,понижать/разжаловать
degree,степень/звание
deity,божество
dejected,удрученный/угнетенный
delay,отсрочка
delayed,отложен(отdelay)
delete,Удалить
deliberate,умышленный/обдуманный
deliberately,сознательно/обдуманно!
delicacy,деликатность/тонкость/нежность(красок);хрупкость/болезненность
delicate,изящныйd-
delicious,восхитительный/прелестный/вкусный(d-)
delight,восхищение/восхищаться
delighted,восхищался(отdelight)
delightful,восхитительный(неmarvellous)
delirium,бред
deliver,доставлять/передавать
deliverance,освобождение/избавление
delivered,доставил(отdeliver)
delivery,доставка
deluge,наводнение/ливень
delusion,заблуждение
delve,впадина/рытвина
demand,требовать
demanded,требовал(отdemand)
demolition,уничтожение
demonstrate,демонстрировать
demonstration,демонстрация
den,берлога/притон
dene,долина/дюны
denial,отрицание/опровержение
denied,Отклоненный
denote,означать/обозначать
dense,густой/плотный(неbushy)
dentist,зубнойврач
deny,отрицать/отвергать
depart,отбывать/уезжать
departed,Отбыл
department,отдел
departments,отделы/отделения(отdepartment)
departure,отъезд/отправление
depend,зависеть
dependant,иждивенец
depended,Зависел
dependent,зависимый/зависящий
deplore,сожалеть
deploy,развертывать
deployment,развертывание
deposit,взнос/вклад/залог/сдаватьнахранение
depression,уныние/депрессия(эконом.)
deprive,лишать/отбирать
depth,глубина
depths,Глубины
deputy,депутат/делегат
derisive,насмешливый/иронический(неironical)
derived,Полученный
des,Дес
descend,спускаться
descendant,потомок
descended,Спускался
descent,спуск/склон/десант/происхождение
describe,описывать
description,описание
desert,пустыня
deserted,брошенный/пустынный
deserter,дезертир
deserts,заслуги
deserve,заслуживать
deserved,заслуженный!
deserves,Заслуживает
design,проектировать/спроектировать
designed,предназначенный/намеренный
designer,конструктор
designs,Проекты
desirable,желательный
desire,желание
desired,Желательный
desk,письменныйстол
desolate,покинутый/заброшенный(-e)
despair,отчаяние
desperate,отчаянный/безнадежный
desperately,отчаянно!
despise,презирать-e
despite,несмотряна
dessert,десерт
destination,местоназначения
destitute,(сильно)нуждающийся
destroy,разрушать/уничтожать
destroyed,Разрушенный
destroyer,эскадренныйминоносец
destruction,разрушение
detach,отделять/посылать(воен.)
detached,отдельныйd-
detachment,отряд
detail,деталь
detailed,детальный/подробный
detain,задерживать/удерживать
detect,открывать/обнаруживатьd-
detected,Обнаруженный
detection,открытие/обнаружение
detective,детектив(ный)
detectives,Детективы
detention,задержание
determination,решимость/определение
determine,определять/устанавливать/разрешать
determined,решительный
detest,питатьотвращение/ненавидеть
detrimental,приносящийущерб(неdestructive)
develop,развивать
developed,развил(отdevelop)
developer,развивающийся(очеловеке)!
development,развитие
device,прибор/схема/проект/прием/устройство
devil,дьявол/сатана
devote,посвящать
devoted,преданный
devotion,преданность
devour,пожирать
dew,роса
dexterity,проворство/ловкость
diagram,диаграмма/схема
dial,набиратьномер
dialect,Диалект
dialogue,диалог
diameter,диаметр
diamond,алмаз/бриллиант
diana,Диана
diary,дневник
dick,Дик
dictionary,словарь
dictum,изречение/поговорка(неbyword)
did,делал/действовал(отdo)
die,штамповать/чеканить
died,умер/умерший(отdie)
diet,диета
differ,различать
difference,разница/различие
differences,Различия
different,другой/отличныйот
differently,По-другому
differs,Отличается
difficult,трудный
difficulty,препятствие/затруднение
dig,копать
digest,переваривать/усваивать/краткоеизложение
digestion,пищеварение
digging,Рытье-ing
dignified,достойный
dignity,достоинство
diligence,прилежание
dim,тусклый/неясный/слабый(озрении)/туманный/смутный
dime,дайм(10центов)
dimly,смутно(неvague)!
din,шум/долбить
dine,обедать
dining,обеденный
dinner,обед
dip,погружать
diploma,диплом/свидетельство
dipper,черпак/ковш
direct,прямой/руководить
directed,Направленный
direction,направление
directions,Руководства(направления)
directly,прямо/немедленно(d-)
director,режиссер
directory,справочник
dirt,грязь
dirty,грязный
disable,делатьнепригодным(неdestroy)
disabled,искалеченный/выведенныйизстроя
disadvantage,неудобство
disagreeable,неприятный
disappear,исчезать/исчезнуть
disappearance,исчезновение!
disappeared,изчезнувший!
disappearing,Исчезновение-ing
disappoint,разочаровывать
disappointed,разочарованный(отdisappoint)
disappointing,печальный/неутешительный-ing
disappointment,разочарование
disapproval,неодобрение
disarm,обезоруживать/разоружать(ся)
disarmament,разоружение
disaster,бедствие/несчастье
disastrous,бедственный
disbelief,недоверие
disc,диск
discern,различать/видеть
discharge,разряжать
discipline,дисциплина/обучение
disconnected,разъединенный
discontent,недовольство(неunpleasure)
discontented,недовольный(неdisagreeable)
discourage,обескураживать
discover,открывать/обнаруживать
discovered,обнаруженный!
discovery,открытие
discreet,осторожный/сдержанный
discretion,свободадействий;свободныйвыбор
discuss,обсуждать
discussed,обсуждал(отdiscuss)
discussing,обсуждающий/обсуждение(отdiscuss)
discussion,беседа
disdain,презирать/пренебрегать;презрение/пренебрежение(неneglect)
disease,болезнь*i-
disgrace,позор/немилость
disgraceful,позорный
disguise,переодеваться/маскироваться/скрывать;маскировка
disguised,замаскированный!
disguises,Маскировки
disgust,отвращение/вызыватьотвращение
dish,блюдо
dishevelled,растрепанный/взъерошенный
dishonest,нечестный
disk,Диск
dislike,нелюбовь/неприязнь;нелюбить
dismal,мрачный/унылый(неgloomy/dreary)
dismay,ужасd-
dismiss,увольнять
dismissed,уволенный!
dismount,спешиваться
disorder,беспорядок
disperse,рассеиваться
display,показ/выставка
displayed,Показанный
displeased,недовольный
displeasure,неудовольствие/недовольство/досада
disposal,вручение/правораспоряжаться
dispose,располагать
disposed,склонный/расположенный/имеющийсяподрукой(неinclined)!
disposition,характер
dispute,диспут/полемика/обсуждать
disregard,пренебрегать/пренебрежение
dissolve,растворять
dissolved,Распущенный
distance,расстояние
distant,дальний/далекий
distinct,отдельный(неseparate/detached)
distinction,различие
distinctly,отчетливо
distinguish,отличать/различать/разделять
distinguished,выдающийся/почетный
distract,отвлекать
distracted,Отвлеченный
distress,горе/нужда;огорчать/расстраиватьd-
distressed,Обеспокоенный
distribute,распределять/распространять
distribution,распределение
district,район
distrust,недоверие/недоверять
disturb,нарушать/беспокоитьd-
disturbance,нарушение
disturbed,взбудораженный*i-!
ditch,канава
ditty,песенка
dive,нырять
dived,Нырнул
diver,водолаз
diverse,разный/различный(неvarious)
divide,делить/отделять
divided,Разделенный
divine,божественный
diving,ныряние
division,деление
dizzy,головокружительный
do,делать/действовать/вспомогательныйглагол
dock,док/пристань
doctor,доктор/врач
doctrine,Доктрина
document,документ
documentation,Документация
dodge,уловка/хитрость(неtrick)
doer,исполнитель
does,делать/действовать/вспомогательныйглагол(отdo)
dog,собака
doing,делающий(отdo)
doll,кукла
dollar,доллар
dollars,доллары(отdollar)
dolls,Куклы
domain,Область
dome,купол
domestic,домашний/внутренний
domesticated,Одомашненный
dominion,владычество/владение/доминион
donation,денежноепожертвование
done,сделанный(отdo)
donkey,осел
doom,обрекать
door,дверь
doorway,двернойпроем!
dormitory,спальня
dorothy,Дороти
dos,ДОС
dose,доза/дозировать
dot,точка
dots,Точки
double,двойной/надвоих
doubloons,Дублоны
doubly,вдвое
doubt,сомнение/сомневаться
doubted,Подвергнутыйсомнению
doubtful,сомневающийся(полонсомнений)
doubtless,несомненно
doubts,Сомнения
dough,тестоd-
dove,голубь
down,внизу/вниз
downstairs,вниз/внизу/нанижнемэтаже
downward,вниз/книзу
downy,пушистый
doze,дремать
dozen,дюжина
dr,Доктор
draft,чертеж/проект
drag,тащитьd-
dragged,Тянул
dragon,дракон!
drain,вытекание
dramatic,драматический
drank,(вы)пил(отdrink)
draught,сквозняк/набросок/черновик
draw,рисовать
drawer,чертежник
drawers,кальсоны
drawing,протаскивание/вытягивание/рисование/чертеж
drawn,нарисованный(отdraw)
dread,страшиться/страх
dreadful,ужасный(неterrible/horrible)
dreadfully,Ужасно
dream,мечтать/видетьсны
dreams,мечты!
dreamt,мечтал(отdream)
dreary,мрачный/унылый/скучный(неgloomy)
dress,платье/одеваться
dressed,одетый
dressing,приправа
dressmaker,портниха
drew,рисовал(отdraw)
dried,сушеный
drift,сносить/плытьпотечению
drill,дрель/тренировать
drink,напиток/пить
drinks,напитки(отdrink)
drip,капать
drive,водитьмашину/ехатьнамашине
driver,водитель/шофер
driveway,проезд!
driving,езда/вождение/движущий
droop,поникать
drooping,Свисающий-ing
drop,капля/падать/ронять
dropped,потерянный/пролитый(неspoiled)!
dropping,сбрасывающий
drops,Снижения(капли)
drove,водилмашину/ехалнамашине(отdrive)
drown,тонуть/топить(ся)/заглушать
drowsy,сонный/дремлющий(неasleep/sleepy)
drug,лекарство/наркотик
drugstore,аптекаd-
drum,барабан
drunk,выпитый/пьяный(отdrink)
dry,сухой
dubious,сомнительный
duchess,герцогиня
duck,утка
ducked,Увернулся
ducks,Утки
dudley,Дадли
due,должный/обязанный
dues,сборы/взносы
dug,сиська/вымя!
duke,герцог
dull,скучный
duly,должнымобразом
dumb,немой/бессловесный/бестолковый(амер.)
dummy,манекен/макет
dump,разгружать
dungeon,Темница
duplicate,дубликат/копия
durable,прочный
duration,продолжительность
during,вовремя
dusk,сумеречный/неясный/сумерки
dust,пыль/вытиратьпыль
duster,тряпка/щетка
dusty,пыльный
duty,долг/обязанность/пошлина
dwarf,карлик/гном(миф.)(неgnome)
dwell,жить
dwelling,жилье-ing
dwight,Дуайт
dye,красить/краска
dyed,крашенный(отdye)
dying,погибающий
dysentery,дизентерия
each,каждый
eager,нетерпеливый
eagerly,охотно(неwilling)
eagerness,пыл/рвение/желание
eagle,орел
ear,ухо
earl,граф!
earlier,Ранее
earliest,Самыйранний
early,рано
earn,зарабатывать
earnest,серьезныйe-
earnestly,Искренне(неsincerely)
earnestness,Серьезность(неseriousness)
earth,земля
earthquake,землетрясение
ease,покой/непринужденностьe-
easel,мольберт
easier,Болеелегкий
easily,легко
east,восток/восточный
Easter,пасха
eastern,восточный
easy,легкий/простой
eat,есть(приниматьпищу)
eaten,eat(3форма)
eater,едок
eating,приемпищи/еда(-ing)
ebb,отлив/убывать
echo,эхо/отголосок
economical,бережливый/экономный
edge,край/точить
edible,съедобный
edinburgh,Эдинбург
edit,редактировать
edition,издание
editor,редактор
editorial,редакционный/передоваястатья(амер.)
edmund,Эдмунд
educated,образованныйed-
education,образование
educational,образовательный/воспитательный
edward,Эдвард
eerie,Жуткий*e-
effect,действие/влияние
effected,Произведенный(неproduced)*f-
effective,действующий/успешный
effects,Эффекты
effectually,Целесообразно
efficiency,эффективность
efficient,эффективный
effort,усилие/напряжение
egg,яйцо
eggs,яйца(отegg)
egypt,Египет
eight,восемь
eighteen,восемнадцать
eighth,восьмой
eighty,восемьдесят
either,или
el,Эль-
elaborate,тщательноразработанный/подробный
elapse,проходить(овремени)
elastic,эластичный/упругий/резинка
elated,окрыленный
elbow,локоть
elbows,Локти
elder,старший
elderly,пожилой
eldest,(самый)старший
elect,выбирать**e**
election,избрание/выборы
electric,электрический
electricity,электричество
electronic,электронный
elegant,изящный
element,элемент/стихия
elementary,элементарный
elements,Элементы
elephant,слон
elevate,поднимать/возвышать
elevated,Поднятый
elevation,Возвышение
elevator,лифт
eleven,одиннадцать
elf,Эльф
eligible,подходящий(неsuitable)
eliminate,исключать/уничтожать/ликвидировать
elinor,Элеонор
eliza,Элиза
elizabeth,Элизабет
elliot,Эллиот
eloise,Элоиза
elongated,Удлиненный
else,еще/кроме
elsewhere,Вдругомместе
elton,Эльтон
embark,садитьсянакорабль
embarrass,смущать
embarrassment,Затруднение
embedded,Вложенный
embrace,обнимать/включать
embroidery,вышивка
emerald,изумруд
emerge,появляться/выясняться/возникать(неappear)
emerged,Появился
emergency,крайняянеобходимостьe-
eminent,выдающийся
emma,Эмма
emotion,возбуждение
emotional,эмоциональный
emotions,Эмоции
emperor,император
emphasis,подчеркивание/ударение/выразительность
empire,империя/господство
employ,держатьнаработе/нанимать
employed,Используемый
employee,служащий/работник
employer,наниматель
employment,служба/занятие(неoccupation/profession)
empty,пустой
emulation,соревнование
enable,даватьвозможность/делатьвозможным
enabled,Позволил
enamel,эмаль/глазурь
encampment,лагерь
enclose,окружать
enclosed,Приложенный(неembedded/attached)
encounter,встретить/сталкиваться
encourage,ободрять/поощрять/подстрекать
encouraged,Поощренный
encouragement,ободрение
encyclopedia,энциклопедия
end,конец
endanger,подвергатьопасности
endeavour,попытка
ended,Законченный
ending,окончание/завершение-ing
endless,бесконечный
endlessly,нескончаемо
endurance,выносливость/терпение(неtolerance)
endure,Вынести
enemies,Враги
enemy,враг/противник
energy,энергия/сила
enforce,принуждать/навязывать/проводитьвжизнь
engage,нанимать/занимать/вовлекать(неemploy)
engaged,занятый/помолвленный(отengage)
engagement,занятие*n-
engine,двигатель/мотор/машина
enginedriver,машинист
engineer,инженер
engineering,техника/машиностроение/махинации
England,Англия
English,английскийязык/английский
enhanced,Увеличенный
enhancements,Повышения
enjoy,любить/получатьудовольствие
enjoyed,получилудовольствие(отenjoy)
enjoyment,удовольствие/наслаждение/обладание
enlarge,увеличивать/расширять/распространяться**l****
enlighten,просвещать
enormous,громадный/ужасный
enormously,чрезвычайно
enough,достаточный
enquired,Спрашивалe-
enslave,порабощать
ensued,Последовал
ensure,обеспечивать/гарантировать
entangled,запутанный
enter,входить/поступать(enter)
entered,поступил(отenter)
entering,вступлениеe-
enterprise,предприятие/предприимчивость
enterprising,предприимчивый
entertain,развлекать/развлечь
entertained,Развлекал
entertainment,развлечение
enthusiasm,энтузиазм/восторг
enthusiastic,восторженный
entire,полный/совершенный
entirely,совершенно/полностью/исключительно
entitled,Имеющийправо
entrance,вход
entreaty,мольба(prayment,неттакогослова)
entry,вход
enumerate,перечислять
envelope,конверт
envious,завистливый(неjealous)
environment,окружающаясреда
envy,зависть/завидовать
epidemic,эпидемический/эпидемия
episode,эпизод
equal,равный
equality,равенство/равноправие
equally,поровну/одинаково/вравнойстепени
equator,экватор
equipment,снаряжение/оборудование
ER,отделение(служба)экстренноймедицинскойпомощи(EmergencyRoom)!
era,эра
erase,стирать(резинкой)
ere,До/перед/преждечем;скореечем
erect,строить(неbuild)
ernest,Эрнест
ernie,Ерни
err,Допуститьошибку
errand,поручение
erring,грешный/заблудший-ing
erroneous,ошибочный
error,ошибка
errors,Ошибки
escape,избежать/избегать
escort,охрана(неguards)
especially,особенно
essay,очерк
essence,сущность
essential,обязательный/существенный/важныйe-
establish,учреждать/создавать/утверждать
established,установленный
establishment,установление/учреждение/положение
estate,поместье/имущество/сословие
esteem,уважать/почитать/уважение(неregard)
estimate,оценка/проект/оценивать
estimated,предполагаемый
et,И
etc,Ит.д
eternal,вечный(неforever)
ethel,Етел
eugene,Юджин
Europe,Европа
European,европейский
evaluation,оценка(неestimation)
evaporate,испаряться/выпаривать
even,даже
evening,вечер
evenings,вечерние(спектакли)e-
event,событие
eventful,полныйсобытий/знаменательный
events,События
eventually,вконечномсчете/вконцеконцов
ever,когда-либо!
every,каждый
everybody,каждый/всякий/все
everyday,повседневный
everyone,все/каждый/всякий
everything,все
everywhere,всюду/везде
evidence,доказательствоe-
evident,очевидный/ясный
evidently,очевидно
evil,зло/злой
evolution,Развитие
exact,точный
exactly,точно/именно
exam,экзамен
examination,экзамен
examine,рассматривать/рассмотреть
example,пример/образец(неpattern)
examples,Примеры
exams,экзамены(отexam)
exasperation,раздражение/ожесточение
excavator,экскаватор
exceed,превышать/превосходить
exceedingly,чрезвычайно
excellent,превосходный/отличный
except,исключая/кроме
excepting,заисключением-ing
exception,исключение
excess,избыток
excessively,Чрезмерно
exchange,обмен/обменивать
exchanged,обменивал(отexchange)
excite,возбуждать/волновать
excited,взволнованный/возбуждённый
excitedly,Взволнованно(неthrilling)
excitement,возбуждение
exciting,волнующий/великолепный
exclaim,восклицать
exclamation,восклицание
exclude,исключать
exclusive,исключительный/недоступный
exclusively,исключительно***l-
excursion,экскурсия
excuse,извинять
execute,выполнятьe-
executed,Выполненный
execution,выполнение
exercise,упражнение
exert,напрягать(силы)
exertion,напряжение/усилие
exhaust,исчерпывать/истощать/выхлоп(тех.)
exhausted,изнуренный
exhibit,экспонат/показывать
exhibited,Показанный(неdisplayed)
exhibition,выставка
exist,существовать/жить
existence,существование
existing,Существующий-ing
exists,Существует
exit,выход/выезд
expanded,Расширенный(неextended)
expansion,расширение/распространение**pa-
expect,ожидать
expectation,ожидание
expectations,ожидания(отexpectation)
expected,предполагаемый/ожидаемый
expecting,ожидающий(отexpect)
expedition,экспедиция
expel,изгонять/исключать
expelled,Удаленный
expense,расход
expensive,дорогой
experience,опыт
experienced,опытный
experiment,эксперимент
experimental,экспериментальный
experiments,Эксперименты
expert,эксперт
explain,объяснять
explained,объяснил(отexplain)
explanation,объяснение
explicit,ясныйe-
explode,взрывать/подрывать
exploit,эксплуатировать
exploration,исследование
explore,исследовать
explosion,взрыв/вспышка
explosive,взрывчатый/взрывчатоевещество-ve
export,экспорт/экспортировать
expose,выставлять/подвергать/разоблачать
exposed,Выставленный(подвергнутый)
exposure,Подвергание
express,экспресс/выражать
expressing,выраженный-ing
expression,выразительность/выражение
expressive,выразительный
expulsion,изгнание(неdejection)
exquisite,изысканный
extend,продлевать/растягивать
extended,растянутый
extending,Распространение(продление)
extension,расширение
extensive,обширный
extent,протяжение
exterior,внешний/внешность/внешнийвид
external,наружный
extinct,потухший(овулкане)/вымерший
extra,сверх(неabove)
extract,удалять/извлекать;экстракт/выдержка(изкниги)
extraordinary,необычный
extreme,чрезвычайный/крайность
extremely,крайне
extremity,конец/край/крайность/конечности
eye,глаз
eyebrow,бровь
eyebrows,брови!
fable,басня/сюжет
face,лицо
faces,выходит/стоитлицом(отface)
facilitate,облегчать
facility,легкость/способность/умение
facing,сидящийлицом(отface)
fact,сущность/факт
fade,увядать
faded,Исчез
fail,недоставать/нехватать;обманутьожидания
failed,потерпелнеудачу/неудалось(отfail)
failing,Неудача-ing
failure,неудача
faint,слабый
faintest,малейший(отfaint)
faintly,слабо!
fair,любезно/хорошо/справедливый
fairfax,Фаирфакс
fairly,довольно(неrather)
fairy,волшебный
faith,вера
faithful,верный
faithfully,Искренне
faithless,ненадежный
fake,подделка!
falcon,сокол
fall,падать
fallen,упавший!
falling,падение
false,ложный
fame,слава/известность
familiar,близкий(f-)
family,семья
famine,голод*a-(неhanger)
famous,известный
fan,болельщик/поклонник
fancied,Представлялсебе
fancy,воображать/представлятьсебе
fang,клык/кореньзуба/зубец
fangs,Клыки
fanny,Фанни
fantastic,фантастический
fantasy,воображение
far,далеко
farewell,прощание;прощайте!досвидания!
farm,ферма
farmer,фермер
farrier,Кузнец
farther,дальше
fascinated,очаровал(отfascinate)
fashion,мода
fashionable,модный
fashioned,Вылепленный
fast,спешащий/сильно/быстро(fast)
fasten,прикреплятьf-
fastened,Закрепленный(неattached)
faster,быстрее
fat,жирный
fatal,фатальный
fate,судьба
father,папа
fatigue,усталость/утомлять(ся)
fatty,жирный!
faucet,водопроводныйкран/вентиль
fault,вина/недостаток/ошибка
faults,Ошибкиf-
favor,Польза(покровительство)
favorite,любимый!
favour,одолжение/услуга/польза
favourable,благоприятный
favourite,любимый
fear,страх/опасение/бояться/опасаться
fearful,страшный
feasible,осуществимый
feast,пир(f-)
feat,подвиг/ловкость/искусство
feather,предметгордости/достижение
feathers,перья!
feature,особенность/характернаячерта
features,Особенности
February,февраль
fed,Кормивший(питаемый)
fee,гонорар/платитьгонорар
feeble,слабый/бледный
feed,кормить
feeding,питаниеf-
feel,чувствовать
feeling,чувство/чувствующий(отfeel)
feelings,страсти(отfeeling)
feels,Чувства
feet,ноги/ступни
fell,упал(отfall)
fellow,человек/парень/приятель
felt,чувствовал(отfeel)
female,женщина/самка
females,Женщины
feminine,женский/женскогорода(грам.)
fence,забор
fencing,ограждение-ing
feral,Дикий(неотсловаwild)
ferment,закваска/фермент;бродить(овине/варенье)
ferocious,дикий
ferocity,свирепость
ferry,перевозf-
fertile,плодородный
fertilised,Оплодотворенный
fertility,Изобилие(неabundance)
fertilizer,удобрение
festival,праздник/фестиваль
fetch,приноситьf-
fetched,принесённый/достанный!
fever,жар/лихорадка
few,мало
fickle,непостоянный/изменчивый
fiddlesticks,вздор
field,поле
fiend,дьявол/злойдух(неdevil)
fierce,свирепый
fiery,Пламенный
fifteen,пятнадцать
fifteenth,пятнадцатый
fifth,пятый
fifty,пятьдесят
fig,Рис.
fight,бороться/бой
fighting,бой/сражение
figure,фигура
figured,Изображенный
filament,Нить
filch,Украсть(неsteal)
file,картотека
files,Файлы
fill,заполнить/наполнить
filling,заполнение/наполнение
film,фотопленка/фильм
filter,фильтр;фильтровать/просачиваться
fin,плавник
final,окончательный
finalize,завершатьf-
finally,вконцеконцов
financial,финансовый
find,найти/находить
finding,находка/открытие/решение
finds,Находит
fine,прекрасно/прекрасный
fined,штрафовал/оштрафованный(отfine)
finest,Самыйпрекрасный
finger,палец
finish,кончать(ся)/заканчивать(ся)/конец/финиш
finished,закончил(отfinish)
finishing,завершение
fir,пихта/ель
fire,огонь/пожар
fireplace,Камин
fires,Огни(пожары)
firewood,дрова
fireworks,фейерверк
firing,Увольнение(обстрел)-ing
firm,фирма/твердый/твердо/крепко
firmly,твердо/решительно
first,первый
fish,рыба
fisherman,рыбак
fishing,рыбнаяловля
fishy,подозрительный/сомнительный
fist,кулак
fit,подходить/соответствовать/устраивать
fitness,годность
fits,подходит(отfit)
fitting,примерка
five,пять
fix,починить/наладить/назначить
fixed,назначил(отfix)
fixes,Устанавливает
flabbergasted,поражен/изумлен
flag,флаг
flakes,хлопья
flame,пламя(неblaze)
flames,Огонь
flaming,Пылающий-ing
flank,фланг
flannel,фланель
flap,развеваться/взмахивать(крыльями);взмах(крыльев)/клапан
flare,вспыхивать;вспышка/осветительнаяракета(неflash)
flash,вспышка/сверкать
flashlight,карманныйфонарь!
flashlights,Прожектора
flask,фляжка
flat,квартира/плоский
flatter,льстить
flattering,льстивый/лестный
flavour,вкус/аромат
flaw,изъян/недостаток(неlack)
flax,лен/льняноеполотно
flea,блоха
fled,убегал/спасалсябегством!
flee,бежать
fleet,флот
flesh,тело/плоть/мясо
flew,летал(отfly)
flexible,гибкий
flight,полет
flinch,отступать/вздрагивать
fling,бросать(ся)/швырять(ся)
flint,Кремень
float,плавать/поплавок
flock,стадо/стая
flood,наводнение
floor,пол/этаж;одолеть/смутить
floored,поставилвтупик/сразил(отfloor)
flora,Флора
flour,мука
flourish,процветать/размахивать;росчерк
flourishing,цветущий
flow,течение/поток/разливаться/течь
flower,цветок
flowerbed,клумба
flowery,цветистый
flowing,течениеf-
flu,грипп
fluently,бегло/гладко
fluid,жидкий/жидкость
flung,бросал/швырял(неthrew)!
flurry,будоражить
flush,(по)краснетьf-
flutter,махать
fly,летать
flying,летающий/летный(отfly)
foal,жеребенок
foam,пена
focus,фокусировать
fodder,фураж/корм
foe,враг
fog,туман
foggy,туманный
fold,складывать/сгибать/скрещивать(руки);складка
folded,складчатый(неcrease)!
folder,папка(длядел)/брошюра(амер.)
folding,складной-ing
foliage,листва
folk,народная
folks,Люди
follow,следовать
following,следующий-ing
follows,Следует
folly,глупость
fond,нежный
food,пища(неmeal)
fool,дурак/глупец
foolish,глупый
foot,нога/фут
football,футбол
footprint,След
footprints,следы!
footstep,звукшагов/следноги
for,для/за/на
forbes,Форбес
forbid,запрещать
forbidden,Запрещенным
force,сила
forced,принудительный/принужденный
forcible,насильственный/убедительный
ford,брод/переходитьвброд(неwade)
fore,передний
foregoing,Предшествующий(неpreceding)-ing
foreground,переднийплан
forehead,лоб
foreign,иностранный
